age,tool,use_case,hours_per_week,satisfaction_1to10,would_recommend
16,Microsoft Copilot,Image Generation,1.7,5,True
21,Midjourney,Coding,5.9,9,False
19,Grammarly,Homework Help,2.8,5,True
14,Perplexity,Translation,0.3,5,True
21,Notion AI,Image Generation,4.4,10,True
15,Microsoft Copilot,Math,5.3,5,True
21,Midjourney,Writing,5.5,9,False
19,Notion AI,Translation,3.7,8,True
16,Google Gemini,Image Generation,2.7,7,True
14,Midjourney,Translation,7.0,10,True
19,Microsoft Copilot,Translation,7.6,7,True
20,Notion AI,Translation,7.2,6,True
19,Grammarly,Coding,5.0,8,True
14,Perplexity,Writing,0.2,7,True
16,Notion AI,Writing,4.2,9,False
16,GitHub Copilot,Coding,3.7,6,True
19,ChatGPT,Image Generation,5.3,7,True
19,Perplexity,Translation,0.8,7,True
18,GitHub Copilot,Creative,4.5,9,False
21,Perplexity,Research,1.6,6,False
15,Grammarly,Translation,1.8,9,True
20,Perplexity,Creative,5.4,7,False
14,Grammarly,Coding,0,6,True
19,Grammarly,Homework Help,0.7,7,True
22,Notion AI,Research,2.7,9,True
17,GitHub Copilot,Image Generation,4.1,7,False
18,Midjourney,Research,3.0,7,True
14,ChatGPT,Math,2.0,6,True
22,Perplexity,Math,5.1,8,True
15,ChatGPT,Math,4.7,6,True
16,Midjourney,Math,0.9,8,True
20,Perplexity,Creative,3.2,10,True
21,GitHub Copilot,Research,4.3,9,True
14,Google Gemini,Writing,4.2,5,True
17,ChatGPT,Research,3.4,7,True
21,Microsoft Copilot,Image Generation,3.4,8,False
15,ChatGPT,Research,2.5,5,True
19,Notion AI,Math,3.1,7,False
21,GitHub Copilot,Image Generation,5.6,9,True
20,Perplexity,Creative,2.1,10,True
22,Grammarly,Image Generation,5.4,10,True
14,Google Gemini,Creative,4.1,9,True
19,Google Gemini,Homework Help,2.9,8,True
15,Midjourney,Translation,5.5,10,True
16,Microsoft Copilot,Image Generation,4.9,10,True
19,Notion AI,Math,0.7,9,True
17,Microsoft Copilot,Homework Help,2.7,5,True
19,Grammarly,Homework Help,0,7,True
17,Google Gemini,Coding,0,7,True
13,Perplexity,Math,2.9,6,True
15,GitHub Copilot,Translation,4.1,8,True
16,Notion AI,Coding,6.0,10,True
15,Perplexity,Homework Help,3.4,7,True
16,Notion AI,Image Generation,2.6,9,True
20,Notion AI,Writing,4.2,5,True
16,Grammarly,Creative,2.1,5,True
16,Google Gemini,Translation,2.0,10,False
21,Midjourney,Creative,0,9,True
18,Midjourney,Coding,2.1,6,True
13,ChatGPT,Translation,3.0,5,True
13,Microsoft Copilot,Creative,3.2,5,True
20,ChatGPT,Research,2.2,6,True
16,Midjourney,Coding,4.4,6,True
15,GitHub Copilot,Coding,2.8,5,True
22,Perplexity,Math,6.2,6,True
20,Perplexity,Creative,2.8,10,True
14,ChatGPT,Coding,0,8,False
17,Microsoft Copilot,Coding,2.4,8,True
13,Perplexity,Math,0,6,False
15,GitHub Copilot,Homework Help,1.8,7,True
14,Notion AI,Translation,0.8,5,True
19,Microsoft Copilot,Image Generation,5.1,5,True
18,Notion AI,Math,4.5,6,True
16,Perplexity,Translation,2.8,5,True
20,Google Gemini,Writing,1.4,5,True
22,Midjourney,Coding,0.3,8,False
20,ChatGPT,Homework Help,3.6,6,False
20,Notion AI,Writing,3.4,6,True
17,Midjourney,Homework Help,1.8,10,True
16,Perplexity,Homework Help,0.4,7,True
18,GitHub Copilot,Coding,5.2,10,True
21,Notion AI,Creative,1.6,10,True
16,Microsoft Copilot,Homework Help,2.1,6,True
15,Microsoft Copilot,Math,0,9,True
16,Perplexity,Translation,2.0,7,True
20,Grammarly,Creative,2.0,8,True
16,ChatGPT,Writing,6.3,7,True
19,GitHub Copilot,Research,5.9,6,False
15,Grammarly,Image Generation,3.8,7,False
14,Microsoft Copilot,Writing,2.0,6,True
18,ChatGPT,Creative,4.3,7,True
20,Midjourney,Coding,2.9,10,True
19,Microsoft Copilot,Writing,6.0,10,True
20,Notion AI,Homework Help,4.3,10,True
13,Perplexity,Coding,5.9,5,False
17,Grammarly,Math,3.1,10,True
22,Notion AI,Image Generation,6.3,9,True
16,Midjourney,Research,0.3,9,True
19,Midjourney,Math,3.4,9,True
21,Microsoft Copilot,Translation,0,6,True
19,Google Gemini,Math,3.1,7,False
15,Midjourney,Translation,7.0,10,True
22,Midjourney,Image Generation,4.3,9,True
16,Grammarly,Writing,5.6,5,True
21,GitHub Copilot,Math,5.3,5,True
16,GitHub Copilot,Writing,0.3,9,True
13,Notion AI,Image Generation,1.4,6,True
15,Notion AI,Math,3.8,5,True
20,Perplexity,Image Generation,4.3,9,True
20,Midjourney,Image Generation,9.4,9,False
22,Perplexity,Creative,6.5,8,True
22,Midjourney,Research,4.9,8,True
19,Microsoft Copilot,Creative,3.8,6,True
13,Midjourney,Research,6.8,10,True
16,Notion AI,Translation,8.2,5,True
17,Google Gemini,Math,3.5,6,True
13,Notion AI,Research,2.7,7,True
15,GitHub Copilot,Image Generation,2.4,9,True
15,Notion AI,Translation,4.3,5,False
15,GitHub Copilot,Research,0.3,7,True
13,ChatGPT,Math,3.3,8,True
22,Microsoft Copilot,Creative,1.0,7,True
18,Google Gemini,Creative,0.3,9,False
21,Perplexity,Research,2.0,7,True
17,Grammarly,Research,5.8,8,True
22,Notion AI,Coding,3.0,10,True
22,Perplexity,Image Generation,1.2,6,False
15,Notion AI,Creative,4.8,10,False
18,Midjourney,Research,2.1,5,False
20,ChatGPT,Writing,1.7,5,True
20,Notion AI,Image Generation,4.0,10,True
22,Midjourney,Homework Help,4.3,7,True
21,Notion AI,Homework Help,2.9,5,True
21,Google Gemini,Writing,3.8,8,True
13,ChatGPT,Homework Help,0,8,True
22,Google Gemini,Translation,0.7,7,True
16,Microsoft Copilot,Writing,6.6,7,True
18,Notion AI,Translation,4.0,5,True
21,GitHub Copilot,Creative,4.7,5,False
22,Grammarly,Coding,5.2,9,False
13,Midjourney,Coding,2.4,7,True
18,ChatGPT,Image Generation,6.8,10,True
22,Grammarly,Coding,3.8,5,True
16,Notion AI,Coding,3.1,6,True
20,GitHub Copilot,Homework Help,2.9,10,True
14,Google Gemini,Image Generation,6.1,10,True
22,Midjourney,Writing,0,5,True
15,Perplexity,Math,5.2,6,False
15,GitHub Copilot,Homework Help,5.5,7,False
21,Grammarly,Homework Help,1.8,9,True
14,Google Gemini,Writing,7.1,10,True
17,Grammarly,Math,2.2,9,False
17,GitHub Copilot,Homework Help,5.9,9,True
21,Notion AI,Translation,5.7,9,True
20,ChatGPT,Translation,3.4,7,True
17,Perplexity,Homework Help,2.5,6,False
13,Grammarly,Math,5.2,5,True
17,GitHub Copilot,Math,4.8,5,False
16,Grammarly,Homework Help,2.1,8,True
18,Notion AI,Math,5.5,7,False
18,ChatGPT,Translation,0.2,10,True
20,Notion AI,Translation,0,6,True
20,Midjourney,Coding,3.9,9,True
17,Midjourney,Image Generation,5.0,9,False
16,Grammarly,Writing,5.6,5,True
22,Notion AI,Homework Help,3.1,8,True
17,Perplexity,Coding,3.2,7,False
16,Microsoft Copilot,Coding,6.5,9,False
19,Notion AI,Writing,5.7,6,True
16,Google Gemini,Research,6.8,5,True
21,Midjourney,Coding,2.4,7,True
15,Midjourney,Image Generation,0.2,5,True
19,Midjourney,Research,2.8,10,True
21,Perplexity,Creative,1.1,8,True
21,Notion AI,Math,0.8,9,False
18,ChatGPT,Homework Help,5.3,9,True
18,Midjourney,Coding,4.1,7,True
18,ChatGPT,Coding,4.5,10,True
18,Perplexity,Coding,2.2,9,True
20,Perplexity,Creative,1.1,5,True
21,Google Gemini,Translation,1.3,10,True
14,GitHub Copilot,Creative,2.7,9,True
18,GitHub Copilot,Coding,3.9,8,False
13,Notion AI,Translation,2.5,8,True
21,Grammarly,Creative,4.1,7,True
16,Notion AI,Research,0,8,True
22,Grammarly,Homework Help,3.6,6,True
17,GitHub Copilot,Writing,3.9,5,True
15,Microsoft Copilot,Math,7.1,8,True
21,GitHub Copilot,Coding,1.5,7,True
15,Midjourney,Math,3.2,6,True
21,ChatGPT,Translation,3.5,10,True
16,Google Gemini,Research,2.2,7,True
14,Perplexity,Homework Help,4.7,8,False
17,Perplexity,Research,5.5,8,False
15,Midjourney,Coding,1.6,9,True
19,Microsoft Copilot,Writing,3.7,7,True
18,GitHub Copilot,Research,5.6,7,True
20,GitHub Copilot,Homework Help,5.4,9,True
20,GitHub Copilot,Homework Help,4.4,8,False
19,Google Gemini,Image Generation,2.5,7,True
20,Perplexity,Homework Help,1.7,6,True
17,Microsoft Copilot,Translation,5.1,5,False
13,Grammarly,Creative,3.1,10,False
14,Grammarly,Writing,4.2,9,True
16,GitHub Copilot,Creative,8.6,5,True
13,Notion AI,Creative,3.7,9,True
17,GitHub Copilot,Translation,3.9,10,True
15,ChatGPT,Coding,5.0,7,True
14,GitHub Copilot,Math,4.4,10,True
14,Grammarly,Image Generation,3.2,6,False
19,GitHub Copilot,Homework Help,3.4,7,False
20,Google Gemini,Homework Help,2.6,9,False
14,Grammarly,Image Generation,1.7,7,True
