age,gender,country,daily_screen_hours,primary_device,top_platform,creativity_score,collaboration_score
19,Male,UK,5.9,Tablet,Netflix,6,7
14,Non-binary,USA,5.2,TV,YouTube,10,6
14,Female,Germany,4.2,Laptop,Discord,3,6
16,Female,Japan,9.2,Smartphone,Snapchat,8,9
18,Non-binary,Germany,6.5,Tablet,Instagram,7,3
13,Non-binary,Australia,5.1,Tablet,Khan Academy,9,4
16,Non-binary,Brazil,5.4,Smartphone,WhatsApp,6,8
16,Male,Germany,9.0,Desktop,Khan Academy,4,7
17,Female,Australia,3.9,Desktop,Instagram,6,9
18,Female,UK,8.5,Desktop,ChatGPT,7,9
17,Male,Japan,5.0,Desktop,ChatGPT,8,10
16,Female,Brazil,7.8,Desktop,Roblox,5,4
15,Non-binary,Indonesia,3.4,Laptop,Snapchat,6,6
14,Male,India,9.0,Laptop,Roblox,4,10
16,Non-binary,Indonesia,6.7,TV,Netflix,6,5
18,Non-binary,India,8.7,Smartphone,Netflix,6,5
19,Non-binary,Mexico,2.8,Smartphone,Roblox,5,10
18,Non-binary,Mexico,6.1,Desktop,Khan Academy,10,9
19,Non-binary,Canada,8.4,TV,Roblox,7,6
19,Non-binary,Japan,3.3,Desktop,Roblox,6,7
16,Male,Japan,5.7,Desktop,TikTok,5,5
14,Female,UK,7.5,Laptop,TikTok,9,9
15,Non-binary,Canada,4.2,TV,Netflix,3,9
16,Male,Germany,6.3,Tablet,Netflix,9,6
16,Male,Japan,5.0,Tablet,Netflix,5,10
14,Non-binary,Mexico,5.7,Smartphone,Netflix,3,4
18,Female,UK,6.4,Tablet,Netflix,8,6
16,Female,Germany,4.5,TV,Snapchat,9,7
19,Male,Canada,8.2,Tablet,Discord,4,3
19,Male,Brazil,5.8,Laptop,YouTube,5,6
14,Female,USA,4.1,Tablet,Khan Academy,5,4
19,Male,Japan,4.9,Smartphone,ChatGPT,3,7
17,Non-binary,Australia,2.7,Smartphone,ChatGPT,6,4
18,Female,Indonesia,7.6,Smartphone,ChatGPT,3,8
17,Female,Germany,8.4,Smartphone,Netflix,10,4
16,Female,Canada,6.8,Laptop,Netflix,5,7
17,Non-binary,Canada,1.5,Desktop,Snapchat,8,6
19,Male,Japan,6.4,TV,Discord,10,9
15,Male,Canada,6.3,Laptop,Khan Academy,7,8
15,Non-binary,Japan,4.4,Desktop,YouTube,6,4
14,Non-binary,Australia,1.8,TV,Roblox,10,3
13,Female,Brazil,5.8,TV,Discord,7,8
16,Non-binary,Mexico,1.4,Desktop,Khan Academy,8,10
15,Female,Japan,11.7,Laptop,TikTok,6,8
13,Non-binary,Mexico,8.7,Laptop,Discord,10,7
18,Non-binary,Mexico,4.5,Desktop,Snapchat,4,6
15,Male,Germany,5.7,Desktop,Instagram,7,3
13,Non-binary,Japan,5.8,Laptop,Roblox,4,3
17,Female,Canada,3.5,Smartphone,Snapchat,10,4
19,Male,Australia,5.8,TV,TikTok,3,5
14,Non-binary,Japan,6.9,Desktop,Netflix,6,9
16,Female,Japan,6.3,Desktop,Netflix,7,3
17,Non-binary,USA,6.9,Laptop,Snapchat,4,5
14,Male,Mexico,5.0,Smartphone,Instagram,3,9
16,Non-binary,Indonesia,4.9,Tablet,Snapchat,10,4
18,Male,Japan,5.6,Desktop,Discord,9,4
17,Male,UK,9.0,Smartphone,YouTube,5,7
17,Non-binary,Indonesia,3.3,Tablet,Roblox,4,10
18,Female,Australia,7.9,TV,Roblox,4,3
16,Non-binary,Germany,4.6,Desktop,Snapchat,3,4
14,Non-binary,Indonesia,5.1,Tablet,ChatGPT,3,5
16,Non-binary,Canada,5.3,Tablet,Instagram,9,10
13,Female,Germany,3.9,Smartphone,Instagram,8,9
18,Female,Japan,6.6,TV,WhatsApp,3,10
13,Female,Japan,2.9,TV,WhatsApp,3,10
16,Male,Brazil,10.7,Desktop,Khan Academy,10,10
19,Male,Brazil,5.4,Tablet,Roblox,10,4
13,Non-binary,Indonesia,6.7,Laptop,Instagram,7,3
17,Female,USA,6.2,Smartphone,Roblox,4,5
16,Non-binary,Japan,9.7,Desktop,Snapchat,9,10
16,Male,Canada,3.4,Desktop,WhatsApp,5,4
15,Female,Germany,4.8,Desktop,Snapchat,3,7
18,Female,Indonesia,2.7,Laptop,Roblox,10,8
15,Non-binary,Mexico,3.9,TV,Roblox,8,6
18,Male,Indonesia,2.3,TV,YouTube,8,10
18,Female,Australia,8.4,Laptop,Roblox,3,5
17,Non-binary,Germany,8.6,TV,TikTok,10,3
18,Male,Australia,2.2,Laptop,TikTok,10,7
15,Non-binary,Australia,3.0,Desktop,Netflix,8,10
19,Non-binary,India,2.0,Desktop,TikTok,6,7
14,Non-binary,USA,4.6,Smartphone,Roblox,5,7
13,Male,Germany,5.9,Smartphone,Snapchat,8,8
16,Male,Brazil,2.7,Laptop,Instagram,5,4
17,Female,Indonesia,4.9,Laptop,Roblox,5,6
16,Non-binary,Japan,2.3,TV,Snapchat,5,4
16,Female,Indonesia,6.3,Tablet,Netflix,7,10
19,Female,Brazil,9.8,Smartphone,Discord,9,8
17,Female,Japan,5.5,Smartphone,Netflix,7,3
17,Non-binary,India,8.6,Tablet,Discord,8,6
18,Male,Indonesia,3.6,Tablet,Instagram,4,3
15,Female,India,2.4,Smartphone,Snapchat,8,9
14,Male,UK,3.8,Desktop,Khan Academy,7,5
15,Female,Japan,5.5,Smartphone,Roblox,4,5
19,Male,Australia,3.5,Desktop,Khan Academy,4,9
13,Female,Mexico,7.0,Tablet,ChatGPT,9,8
13,Non-binary,Brazil,7.0,TV,YouTube,8,6
18,Male,Canada,7.1,TV,TikTok,5,3
13,Female,Canada,4.5,Smartphone,TikTok,6,5
16,Female,Germany,3.8,Desktop,Netflix,5,9
18,Male,Canada,2.3,Desktop,Netflix,7,3
18,Female,Brazil,0.5,Tablet,TikTok,8,8
13,Female,Japan,7.4,Laptop,TikTok,10,4
18,Male,Indonesia,6.2,Tablet,Discord,5,6
13,Non-binary,Brazil,5.4,Desktop,Discord,6,8
19,Male,Indonesia,9.8,Laptop,Instagram,7,5
13,Non-binary,India,5.6,Laptop,YouTube,8,6
17,Female,India,5.8,TV,WhatsApp,4,4
16,Female,Germany,6.1,Desktop,ChatGPT,4,10
17,Male,Indonesia,9.2,Desktop,Snapchat,10,3
13,Female,Australia,6.5,TV,TikTok,10,10
13,Male,Germany,4.9,Tablet,ChatGPT,8,9
17,Non-binary,Japan,5.0,TV,WhatsApp,9,4
19,Non-binary,USA,7.4,Desktop,Discord,9,10
14,Female,Germany,3.0,TV,Netflix,9,4
15,Female,Germany,4.4,Laptop,Roblox,4,4
19,Male,USA,3.7,TV,TikTok,8,5
17,Male,Indonesia,8.2,Smartphone,Netflix,8,9
19,Non-binary,India,4.7,Tablet,ChatGPT,7,8
13,Non-binary,Mexico,6.2,Laptop,TikTok,8,8
13,Female,Indonesia,8.6,Laptop,Netflix,3,7
13,Male,Japan,4.9,Tablet,Khan Academy,3,5
19,Male,Indonesia,3.7,TV,TikTok,5,3
13,Non-binary,Mexico,6.0,Tablet,Instagram,8,7
18,Female,Indonesia,7.7,Desktop,TikTok,3,5
14,Non-binary,India,4.7,TV,Roblox,10,9
15,Male,Mexico,3.9,Smartphone,Khan Academy,9,4
15,Non-binary,Indonesia,2.2,Smartphone,Discord,9,3
13,Male,Japan,5.8,Laptop,Instagram,7,7
15,Male,India,3.2,Laptop,Netflix,6,8
13,Female,India,5.5,TV,YouTube,10,4
19,Female,Indonesia,3.5,TV,Snapchat,4,9
13,Female,UK,6.5,Desktop,Roblox,8,4
16,Male,Brazil,3.5,Smartphone,Netflix,7,8
14,Female,UK,6.4,Smartphone,WhatsApp,4,6
19,Female,Germany,4.9,Laptop,Discord,4,5
15,Male,UK,1.5,Desktop,Instagram,4,5
19,Non-binary,Canada,2.7,Desktop,Roblox,8,8
14,Female,USA,6.1,TV,Roblox,7,7
17,Male,Germany,3.6,TV,YouTube,3,8
19,Female,USA,5.4,Smartphone,ChatGPT,9,10
17,Non-binary,India,1.7,Laptop,Khan Academy,10,5
13,Female,USA,6.7,Tablet,TikTok,5,3
14,Non-binary,Canada,8.2,Desktop,Instagram,8,8
15,Female,Australia,5.3,Tablet,ChatGPT,3,8
13,Female,USA,3.5,Tablet,ChatGPT,5,8
13,Non-binary,UK,4.7,Tablet,Snapchat,9,5
17,Non-binary,USA,4.7,Tablet,Instagram,4,9
17,Female,India,7.5,Tablet,Snapchat,5,6
15,Female,Brazil,5.7,Smartphone,Snapchat,4,3
18,Female,Indonesia,6.7,Laptop,ChatGPT,9,5
14,Male,Indonesia,6.0,TV,YouTube,9,8
18,Non-binary,Brazil,4.3,TV,ChatGPT,7,10
14,Non-binary,Brazil,4.0,TV,Discord,8,10
16,Female,Australia,9.2,Desktop,WhatsApp,9,5
19,Male,Indonesia,6.6,TV,Khan Academy,4,4
15,Male,UK,6.8,Tablet,Roblox,5,9
13,Male,Canada,9.3,TV,YouTube,9,8
14,Female,USA,2.1,Tablet,Discord,3,8
13,Non-binary,Germany,5.8,Tablet,Roblox,5,10
16,Non-binary,India,4.3,Smartphone,YouTube,7,6
19,Male,Mexico,8.3,TV,TikTok,7,6
15,Male,India,4.4,Laptop,Netflix,10,4
13,Female,Indonesia,2.5,Desktop,Discord,5,7
16,Male,Indonesia,4.8,Tablet,Discord,9,5
18,Non-binary,USA,3.4,Desktop,WhatsApp,3,9
19,Female,India,5.2,TV,Khan Academy,7,3
15,Male,Germany,5.7,Smartphone,ChatGPT,8,5
13,Female,Mexico,8.7,Tablet,Instagram,10,10
18,Male,UK,9.0,TV,YouTube,7,6
13,Male,India,7.0,Tablet,Snapchat,9,10
15,Male,Brazil,4.5,Smartphone,Khan Academy,7,4
19,Female,Australia,9.8,TV,Roblox,9,8
14,Female,Canada,2.9,Tablet,TikTok,9,4
16,Non-binary,UK,8.4,Desktop,Snapchat,8,4
13,Female,Japan,4.5,TV,Instagram,10,8
16,Male,Germany,8.3,Desktop,Netflix,7,3
13,Non-binary,Australia,2.9,Laptop,YouTube,5,10
13,Male,USA,8.5,Laptop,Khan Academy,8,9
17,Male,Indonesia,6.9,Tablet,Khan Academy,10,4
17,Male,Mexico,7.5,Tablet,Netflix,8,7
14,Male,India,5.3,TV,WhatsApp,4,7
19,Female,Canada,2.9,Laptop,ChatGPT,7,10
14,Male,UK,7.0,TV,TikTok,8,8
18,Male,Mexico,3.6,Desktop,Snapchat,7,5
18,Non-binary,UK,6.2,Smartphone,Discord,5,6
19,Female,India,3.0,Tablet,WhatsApp,8,10
19,Non-binary,UK,4.8,Tablet,Netflix,10,9
19,Female,Indonesia,4.9,Smartphone,Instagram,8,4
16,Female,Mexico,3.0,Desktop,ChatGPT,5,5
16,Non-binary,India,9.2,Smartphone,WhatsApp,5,7
14,Male,Germany,6.9,Desktop,Snapchat,4,7
14,Non-binary,Mexico,4.9,Tablet,Instagram,7,4
17,Non-binary,UK,3.1,Laptop,ChatGPT,8,3
19,Male,USA,3.9,Smartphone,ChatGPT,7,6
19,Non-binary,Australia,5.1,Desktop,Snapchat,7,10
14,Non-binary,Australia,5.1,Tablet,Roblox,4,3
14,Female,Australia,4.0,Desktop,Instagram,8,8
18,Female,Australia,5.6,Laptop,Khan Academy,4,8
14,Female,USA,5.3,Smartphone,YouTube,7,9
19,Non-binary,Australia,7.2,Laptop,Instagram,8,8
14,Male,Canada,8.0,Tablet,Roblox,3,4
16,Non-binary,Canada,5.4,Laptop,Discord,8,3
13,Female,Canada,2.0,TV,Snapchat,3,4
16,Male,Japan,3.1,Tablet,Netflix,8,3
16,Male,Indonesia,3.6,Tablet,TikTok,9,10
19,Non-binary,Japan,4.7,Desktop,ChatGPT,4,5
13,Female,Germany,6.1,Tablet,Instagram,6,9
17,Male,India,3.6,Smartphone,Instagram,8,10
17,Female,UK,3.4,Tablet,ChatGPT,8,5
16,Non-binary,Japan,3.9,Desktop,Khan Academy,10,7
16,Male,Germany,5.0,TV,ChatGPT,7,3
17,Female,Japan,6.4,Desktop,ChatGPT,6,3
17,Female,UK,2.0,TV,Instagram,6,3
17,Non-binary,USA,5.0,Laptop,YouTube,10,8
16,Male,Australia,4.7,Desktop,Roblox,3,5
17,Male,Mexico,3.4,Tablet,Roblox,9,8
14,Female,Mexico,4.4,Tablet,ChatGPT,10,6
14,Female,Mexico,7.2,Tablet,Discord,7,7
18,Male,Canada,4.7,Tablet,Snapchat,4,9
16,Female,UK,7.4,Tablet,YouTube,7,4
15,Female,Japan,5.5,Desktop,Snapchat,7,5
13,Non-binary,Indonesia,4.0,Laptop,Discord,3,6
18,Male,India,7.1,TV,TikTok,5,3
17,Male,Australia,6.7,TV,Roblox,6,7
15,Female,India,6.3,Desktop,Discord,3,5
16,Male,India,5.0,TV,Roblox,5,7
13,Male,Japan,4.5,Tablet,Snapchat,10,10
14,Non-binary,Canada,5.1,Tablet,Discord,4,8
14,Non-binary,Canada,3.4,Smartphone,Khan Academy,7,6
14,Non-binary,Australia,2.7,TV,WhatsApp,8,4
16,Non-binary,USA,6.0,Tablet,Discord,3,7
16,Male,Canada,6.6,Tablet,Khan Academy,7,3
15,Non-binary,Germany,5.2,Smartphone,Roblox,7,5
16,Non-binary,Mexico,4.8,Tablet,TikTok,7,8
17,Male,Brazil,7.9,TV,ChatGPT,8,9
18,Non-binary,Canada,4.8,Desktop,Discord,6,4
17,Female,Mexico,5.2,Desktop,TikTok,3,6
17,Non-binary,UK,4.6,Laptop,Khan Academy,10,4
18,Male,Indonesia,0.8,TV,YouTube,10,5
17,Female,Canada,5.8,Desktop,YouTube,10,7
18,Male,Australia,5.5,Laptop,ChatGPT,4,3
16,Female,USA,5.7,Desktop,YouTube,4,10
13,Female,Australia,6.0,TV,Khan Academy,9,10
19,Female,Australia,6.6,Smartphone,WhatsApp,5,8
13,Male,Mexico,4.6,Laptop,YouTube,3,7
16,Non-binary,Mexico,6.2,TV,WhatsApp,9,6
14,Female,Germany,6.3,Smartphone,YouTube,9,3
14,Male,USA,6.7,Smartphone,ChatGPT,3,10
17,Non-binary,India,5.5,TV,Discord,6,3
14,Non-binary,Japan,6.2,Laptop,ChatGPT,8,8
14,Female,UK,8.2,TV,Snapchat,7,3
17,Non-binary,UK,5.3,TV,WhatsApp,10,3
15,Non-binary,Australia,5.9,TV,Netflix,5,7
16,Male,Mexico,3.6,TV,Discord,6,7
19,Non-binary,UK,7.2,Desktop,Netflix,9,5
16,Male,Japan,0.9,Laptop,Khan Academy,4,10
19,Female,USA,1.5,Smartphone,Snapchat,9,3
19,Male,Brazil,4.6,Desktop,WhatsApp,6,10
14,Female,Japan,5.9,Laptop,TikTok,10,6
18,Non-binary,Brazil,5.4,TV,Discord,8,7
16,Female,Mexico,4.4,Tablet,WhatsApp,10,10
13,Non-binary,Canada,4.0,Tablet,Discord,8,8
16,Male,Indonesia,7.9,Smartphone,Snapchat,9,7
14,Male,Germany,2.8,Laptop,Netflix,6,10
17,Non-binary,Germany,5.3,TV,Roblox,5,8
14,Male,Mexico,9.6,TV,Instagram,3,3
19,Male,India,5.7,Laptop,TikTok,5,3
14,Non-binary,Canada,3.2,Tablet,YouTube,10,10
13,Male,Mexico,5.2,Desktop,Snapchat,7,3
17,Non-binary,Australia,5.4,Laptop,TikTok,4,5
14,Male,Indonesia,1.5,Tablet,Netflix,4,8
16,Female,Indonesia,4.8,Laptop,Discord,7,4
18,Non-binary,India,7.3,Desktop,Roblox,3,3
18,Male,USA,6.7,TV,Netflix,8,4
17,Male,Brazil,6.6,Desktop,Roblox,7,3
13,Non-binary,Japan,9.8,Desktop,ChatGPT,3,5
19,Female,India,8.3,TV,TikTok,7,5
17,Male,Indonesia,4.8,TV,WhatsApp,8,9
19,Non-binary,UK,6.3,Smartphone,WhatsApp,8,3
13,Female,Brazil,2.2,Smartphone,Khan Academy,9,8
13,Non-binary,Japan,6.0,Laptop,Khan Academy,9,9
14,Non-binary,Indonesia,3.1,TV,TikTok,7,6
18,Male,USA,5.3,Laptop,Netflix,8,8
13,Male,India,7.6,Tablet,Roblox,8,7
13,Male,USA,6.4,Desktop,WhatsApp,9,4
13,Male,Germany,7.7,Desktop,TikTok,8,9
13,Female,Australia,4.8,Desktop,Discord,5,9
14,Male,Japan,6.1,Tablet,Snapchat,10,5
13,Male,Australia,5.2,Smartphone,Khan Academy,7,6
18,Non-binary,Canada,7.3,Desktop,ChatGPT,6,10
13,Male,Japan,7.7,Desktop,Netflix,8,10
15,Female,Indonesia,5.6,Laptop,Snapchat,8,6
16,Female,UK,11.1,Tablet,Roblox,6,8
16,Female,Australia,4.2,Tablet,TikTok,6,5
18,Non-binary,India,7.8,Laptop,Roblox,7,4
19,Female,Canada,4.8,Laptop,Snapchat,6,7
18,Male,Australia,5.7,Desktop,Roblox,9,9
17,Male,Germany,4.7,Desktop,ChatGPT,4,4
19,Male,Germany,7.0,Desktop,Netflix,8,9
13,Male,USA,8.1,Tablet,Discord,6,10
15,Female,Canada,5.9,Desktop,Instagram,8,3
16,Male,Japan,2.6,TV,TikTok,4,5
15,Female,Germany,4.1,TV,Khan Academy,10,4
16,Non-binary,Canada,5.9,Tablet,TikTok,7,3
19,Non-binary,USA,7.5,Smartphone,Instagram,6,5
17,Male,Germany,5.8,Desktop,Netflix,10,6
19,Female,UK,6.8,TV,YouTube,6,10
17,Female,Australia,8.5,Smartphone,Discord,6,7
19,Non-binary,USA,2.0,Desktop,Instagram,8,8
14,Female,USA,3.7,Tablet,Roblox,8,9
17,Female,Indonesia,7.0,TV,ChatGPT,5,7
17,Non-binary,USA,6.8,Laptop,Khan Academy,4,6
15,Male,UK,4.7,TV,Netflix,5,9
16,Male,Canada,6.4,Desktop,Instagram,5,10
15,Male,UK,4.5,Smartphone,Khan Academy,3,10
14,Male,Australia,7.7,Desktop,WhatsApp,10,9
18,Female,Australia,4.9,Laptop,TikTok,3,6
15,Male,Japan,3.2,Laptop,WhatsApp,7,5
19,Female,Indonesia,5.3,Desktop,WhatsApp,4,4
15,Non-binary,Germany,1.8,Desktop,YouTube,10,6
16,Male,Brazil,3.0,TV,Snapchat,8,4
16,Male,Brazil,13.5,Laptop,ChatGPT,8,9
14,Non-binary,UK,6.4,Smartphone,ChatGPT,8,7
17,Non-binary,UK,1.6,Tablet,Snapchat,7,7
19,Non-binary,USA,7.9,TV,YouTube,7,5
18,Male,Brazil,8.3,Laptop,Khan Academy,6,9
16,Male,Indonesia,3.4,TV,Roblox,4,4
16,Non-binary,Japan,3.2,Tablet,Roblox,10,8
17,Male,USA,5.2,Tablet,TikTok,9,6
16,Male,Canada,3.1,Tablet,Khan Academy,7,8
17,Non-binary,UK,3.2,Tablet,YouTube,3,4
18,Female,India,4.5,Smartphone,Instagram,10,10
13,Female,Brazil,10.3,Tablet,Instagram,7,4
18,Female,Japan,5.4,Smartphone,Khan Academy,5,3
16,Non-binary,Japan,4.9,TV,TikTok,4,3
14,Female,USA,1.9,Laptop,ChatGPT,6,10
13,Male,Germany,8.2,TV,Instagram,10,4
14,Female,USA,0.5,Smartphone,TikTok,8,8
15,Male,Australia,6.0,Laptop,Instagram,4,3
17,Non-binary,UK,1.9,TV,Khan Academy,6,5
16,Non-binary,Canada,6.1,Smartphone,Instagram,4,9
15,Female,Germany,4.8,Laptop,Discord,7,4
14,Non-binary,Indonesia,3.1,Smartphone,Snapchat,6,6
18,Female,Japan,3.7,Smartphone,Discord,10,9
13,Male,Canada,5.0,Smartphone,Khan Academy,8,5
16,Non-binary,Australia,4.9,Tablet,WhatsApp,5,10
19,Male,India,5.2,Laptop,YouTube,3,9
17,Female,Mexico,5.3,TV,Netflix,9,4
18,Non-binary,Mexico,4.2,Tablet,TikTok,6,5
17,Female,Australia,4.3,Desktop,TikTok,7,9
18,Male,India,5.7,Smartphone,Roblox,3,7
18,Non-binary,UK,10.5,Smartphone,YouTube,5,3
14,Female,Germany,1.7,Tablet,Instagram,8,5
18,Female,USA,4.9,Smartphone,Khan Academy,9,7
17,Male,Japan,4.8,Smartphone,Roblox,10,8
13,Female,Indonesia,2.7,Laptop,Khan Academy,5,7
19,Male,Indonesia,5.0,Desktop,YouTube,3,3
14,Male,Canada,4.5,Tablet,Netflix,5,5
19,Male,Mexico,6.6,TV,Discord,8,6
16,Non-binary,Germany,2.2,Tablet,TikTok,8,4
17,Non-binary,India,7.2,Smartphone,Netflix,4,10
19,Female,Japan,9.1,Tablet,TikTok,10,3
15,Male,Japan,3.8,Desktop,Discord,10,8
17,Female,Brazil,4.8,Desktop,Discord,5,3
16,Male,Brazil,2.5,Smartphone,Khan Academy,3,9
19,Non-binary,Japan,4.7,Smartphone,Discord,6,9
16,Male,UK,5.3,Laptop,WhatsApp,9,8
16,Non-binary,USA,4.6,Desktop,TikTok,5,9
13,Non-binary,Indonesia,8.5,Laptop,Discord,7,7
19,Female,Australia,6.7,Tablet,Khan Academy,10,7
14,Male,Brazil,8.0,Smartphone,Instagram,4,5
16,Female,Germany,8.3,TV,TikTok,8,6
16,Female,Canada,5.4,Laptop,Snapchat,3,6
19,Female,UK,6.6,Smartphone,Discord,8,9
17,Male,Japan,5.1,Smartphone,Netflix,10,6
13,Female,USA,12.2,Laptop,TikTok,3,3
19,Male,UK,6.2,Smartphone,ChatGPT,7,4
13,Male,Brazil,7.6,TV,Instagram,4,8
13,Male,Canada,10.2,TV,Netflix,10,3
16,Non-binary,Australia,7.1,Laptop,Khan Academy,6,5
15,Female,Canada,5.9,Desktop,ChatGPT,6,7
16,Female,Mexico,5.1,TV,YouTube,4,7
16,Male,Australia,6.9,Desktop,Discord,3,9
19,Non-binary,Germany,9.8,TV,WhatsApp,10,8
17,Non-binary,Germany,4.4,Tablet,ChatGPT,6,3
19,Female,India,6.4,TV,WhatsApp,8,6
14,Male,Brazil,4.5,Smartphone,Discord,9,8
19,Male,UK,4.1,Laptop,ChatGPT,8,8
17,Male,Germany,8.2,Desktop,Discord,10,7
14,Female,India,4.6,Smartphone,YouTube,6,6
13,Non-binary,Canada,10.4,Laptop,Instagram,8,5
19,Female,India,5.5,Smartphone,Instagram,5,4
19,Non-binary,Germany,7.6,TV,ChatGPT,4,8
15,Female,UK,5.0,Laptop,Netflix,10,8
14,Non-binary,Mexico,3.7,Tablet,Discord,5,9
15,Non-binary,Japan,0.8,Laptop,Instagram,3,9
19,Non-binary,India,6.3,Desktop,Discord,4,10
14,Female,USA,7.3,Laptop,Khan Academy,8,5
18,Male,Germany,3.9,Laptop,TikTok,8,7
19,Male,India,6.1,Smartphone,Netflix,10,9
14,Female,Canada,7.0,TV,TikTok,10,6
14,Female,USA,4.1,Smartphone,Snapchat,3,8
15,Male,USA,3.0,Laptop,TikTok,4,8
17,Non-binary,Canada,9.4,Smartphone,Netflix,5,9
14,Male,USA,2.6,TV,WhatsApp,7,7
15,Male,USA,10.7,Smartphone,Netflix,10,5
13,Female,India,3.8,Desktop,Roblox,6,4
13,Male,UK,6.3,Tablet,TikTok,10,4
15,Female,Canada,2.3,Smartphone,WhatsApp,9,5
15,Female,Germany,5.7,Laptop,Roblox,3,7
16,Female,Japan,5.8,Smartphone,Instagram,4,4
18,Female,Mexico,7.2,TV,ChatGPT,6,3
19,Female,Mexico,3.1,TV,ChatGPT,6,10
15,Male,Australia,6.8,Smartphone,WhatsApp,5,4
19,Female,UK,6.8,Laptop,Discord,5,3
16,Male,Australia,5.1,Laptop,Instagram,7,8
18,Male,USA,3.8,Tablet,Snapchat,10,3
19,Non-binary,Indonesia,6.9,Desktop,WhatsApp,9,4
16,Male,UK,2.8,Smartphone,TikTok,4,7
19,Non-binary,Germany,4.3,TV,Snapchat,9,10
17,Non-binary,Canada,7.2,Laptop,ChatGPT,9,3
16,Female,Brazil,5.9,Smartphone,Roblox,7,8
13,Female,Japan,3.9,Smartphone,Discord,5,7
18,Female,Germany,9.4,Tablet,Netflix,4,6
16,Male,Australia,5.3,Tablet,YouTube,5,4
15,Non-binary,Mexico,1.8,TV,Instagram,3,5
14,Male,India,5.5,Tablet,Discord,7,8
19,Female,Mexico,7.9,TV,TikTok,3,6
15,Female,Indonesia,0.5,TV,ChatGPT,8,8
14,Female,USA,7.4,Tablet,YouTube,9,3
14,Non-binary,Brazil,7.5,Laptop,Snapchat,9,3
19,Non-binary,India,3.0,TV,Instagram,5,3
14,Female,Indonesia,6.1,Tablet,Netflix,9,8
16,Female,Brazil,3.7,TV,Snapchat,9,4
13,Non-binary,Germany,2.8,Tablet,Snapchat,4,10
13,Female,Japan,4.4,Tablet,Snapchat,7,7
14,Male,Mexico,6.0,Desktop,Netflix,8,5
18,Male,Canada,0.8,Tablet,Snapchat,9,9
16,Non-binary,India,0.5,Laptop,Khan Academy,6,10
18,Female,Mexico,1.9,Tablet,Instagram,5,7
13,Female,UK,5.3,Desktop,Instagram,8,4
14,Female,Brazil,2.0,Tablet,Netflix,8,8
15,Non-binary,Japan,4.4,Smartphone,ChatGPT,4,10
14,Non-binary,USA,5.7,TV,WhatsApp,7,9
